Filename,Category,Kind,N_Features,N_Features_in_Policies_Complete,N_Features_in_Policies_Failed,N_Configurations,Z3_Policies_Evaluated,Z3_Alerts,AST_Alerts,Is_Match,T_Z3_ms,T_AST_ms,False_Positives_AST,False_Negatives_AST,Error_Mapping
longhorn23_36.yaml,tiny,DaemonSet,54,423,210,10000,26,9,9,True,96616.6,238.26,[],[],
hostports1334.yaml,tiny,Pod,14,481,213,1,49,15,15,True,176570.22,194.2,[],[],
pod-bad178_1.yaml,tiny,Pod,11,481,187,2,49,13,13,True,176876.32,186.15,[],[],
ss-bad-badlabel.yaml,tiny,StatefulSet,25,424,176,2,26,7,7,True,96822.61,119.93,[],[],
restrictedvolumes11640.yaml,tiny,Pod,22,481,187,1,49,13,13,True,176960.77,183.34,[],[],
restrictedvolumes15370.yaml,tiny,Pod,22,481,187,1,49,13,13,True,177128.18,182.82,[],[],
06.imagePullPolicy1.yaml,tiny,Pod,12,481,185,2,49,12,12,True,176857.22,184.99,[],[],
03-Ingress-app2.yaml,tiny,Ingress,17,4,2,1,2,1,1,True,13493.76,39.11,[],[],
auth_proxy_service125.yaml,tiny,Service,19,13,2,7,6,1,1,True,27740.35,39.79,[],[],
workloads12_1.yaml,tiny,Deployment,25,422,178,1,26,8,8,True,96550.56,124.51,[],[],
ingress-controller-ckad7_13.yaml,tiny,Service,20,13,2,15,6,1,1,True,27467.48,42.74,[],[],
ingress-nginx6_11.yaml,tiny,Service,26,13,4,30,6,2,2,True,27682.54,114.78,[],[],
data-volume-lobby.yaml,tiny,PersistentVolume,11,0,0,1,0,0,0,True,0.0,25.97,[],[],
004-vote-app-manifest_4.yaml,tiny,Service,19,13,2,1,6,1,1,True,27528.1,42.08,[],[],
cluster-role-binding202.yaml,tiny,ClusterRoleBinding,13,12,0,1,4,0,0,True,7222.16,30.14,[],[],
postgres-cluster-ip-service19.yaml,tiny,Service,14,13,2,1,6,1,1,True,27466.49,46.34,[],[],
auth-deployment2.yaml,tiny,Deployment,19,422,178,1,26,8,8,True,96468.43,116.74,[],[],
orders-mongo-deply_1.yaml,tiny,Service,15,13,2,1,6,1,1,True,27748.11,48.96,[],[],
services265_1.yaml,tiny,Service,12,13,2,1,6,1,1,True,27879.89,42.91,[],[],
runasnonroot2393.yaml,tiny,Pod,15,481,187,1,49,13,13,True,176805.93,205.11,[],[],
argocd1_14.yaml,tiny,RoleBinding,15,12,0,3,4,0,0,True,6962.56,33.13,[],[],
elastic-stack13_3.yaml,tiny,DaemonSet,43,423,185,864,26,8,8,True,96602.46,153.02,[],[],
voting-app-pod54.yaml,tiny,Pod,13,481,187,2,49,13,13,True,177297.54,196.72,[],[],
windowshostprocess1381.yaml,tiny,Pod,31,481,144,1,49,13,13,True,176792.89,181.68,[],[],
sentinel-statefulset3.yaml,tiny,StatefulSet,52,424,176,4,26,7,7,True,97131.36,115.04,[],[],
restrictedvolumes1863.yaml,tiny,Pod,21,481,187,1,49,13,13,True,176890.75,185.4,[],[],
v2_4_7_full_modified_4.yaml,tiny,RoleBinding,17,12,0,1,4,0,0,True,6969.74,28.59,[],[],
new-version_6.yaml,tiny,RoleBinding,14,12,0,1,4,0,0,True,7233.5,30.02,[],[],
service4519.yaml,tiny,Service,15,13,2,1,6,1,1,True,27477.1,39.44,[],[],
web-service98.yaml,tiny,Service,15,13,4,1,6,2,2,True,27191.42,55.18,[],[],
deployment-01-working3_1.yaml,tiny,Service,22,13,4,1,6,2,2,True,27449.02,49.29,[],[],
deployment1429.yaml,tiny,Deployment,34,422,176,2,26,7,7,True,97073.5,114.7,[],[],
install113_11.yaml,tiny,ClusterRoleBinding,16,12,0,6,4,0,0,True,6995.49,30.13,[],[],
services10.yaml,tiny,Service,18,13,4,1,6,2,2,True,27451.27,49.74,[],[],
podcontroller-good159_18.yaml,tiny,Deployment,22,422,178,1,26,8,8,True,96781.66,153.59,[],[],
frontend-service9.yaml,tiny,Service,16,13,4,1,6,2,2,True,27191.45,46.94,[],[],
smtp-blackhole_11.yaml,tiny,Service,22,13,2,1,6,1,1,True,27745.08,45.14,[],[],
resource137_21.yaml,tiny,Deployment,29,422,186,2,26,9,9,True,96360.05,181.62,[],[],
sa-token-secret.yaml,tiny,Secret,8,14,0,1,4,0,0,True,6956.76,28.22,[],[],
selinuxoptions3398.yaml,tiny,Pod,14,481,187,1,49,13,13,True,176880.29,186.64,[],[],
selinuxoptions3215.yaml,tiny,Pod,28,481,136,1,49,11,11,True,177306.81,180.99,[],[],
seccompprofile_restricted2285.yaml,tiny,Pod,24,481,187,1,49,13,13,True,176991.7,185.21,[],[],
