Feature,Midle,Turned,Value
io_k8s_api_admissionregistration_v1_MutatingWebhook_reinvocationPolicy_IfNeeded,MutatingWebhook_reinvocationPolicy_IfNeeded,IfNeeded,IfNeeded
io_k8s_api_admissionregistration_v1_MutatingWebhook_reinvocationPolicy_Never,MutatingWebhook_reinvocationPolicy_Never,Never,Never
io_k8s_api_admissionregistration_v1_MutatingWebhook_rules,MutatingWebhook_rules,rules,-
io_k8s_api_admissionregistration_v1_MutatingWebhook_rules_apiGroups,MutatingWebhook_rules_apiGroups,apiGroups,-
io_k8s_api_admissionregistration_v1_MutatingWebhook_rules_apiGroups_StringValue,MutatingWebhook_rules_apiGroups_StringValue,StringValue,
io_k8s_api_admissionregistration_v1_MutatingWebhook_rules_apiVersions,MutatingWebhook_rules_apiVersions,apiVersions,-
io_k8s_api_admissionregistration_v1_MutatingWebhook_rules_apiVersions_StringValue,MutatingWebhook_rules_apiVersions_StringValue,StringValue,
io_k8s_api_admissionregistration_v1_MutatingWebhook_rules_operations,MutatingWebhook_rules_operations,operations,-
io_k8s_api_admissionregistration_v1_MutatingWebhook_rules_operations_StringValue,MutatingWebhook_rules_operations_StringValue,StringValue,
io_k8s_api_admissionregistration_v1_MutatingWebhook_rules_resources,MutatingWebhook_rules_resources,resources,-
io_k8s_api_admissionregistration_v1_MutatingWebhook_rules_resources_StringValue,MutatingWebhook_rules_resources_StringValue,StringValue,
io_k8s_api_admissionregistration_v1_MutatingWebhook_rules_scope,MutatingWebhook_rules_scope,scope,
io_k8s_api_admissionregistration_v1_MutatingWebhook_rules_scope_Cluster,MutatingWebhook_rules_scope_Cluster,Cluster,Cluster
io_k8s_api_admissionregistration_v1_MutatingWebhook_rules_scope_Namespaced,MutatingWebhook_rules_scope_Namespaced,Namespaced,Namespaced
io_k8s_api_admissionregistration_v1_MutatingWebhook_rules_scope_estrella,MutatingWebhook_rules_scope_estrella,estrella,estrella
io_k8s_api_admissionregistration_v1_MutatingWebhook_timeoutSeconds,MutatingWebhook_timeoutSeconds,timeoutSeconds,
io_k8s_api_admissionregistration_v1_MutatingWebhookConfiguration,MutatingWebhookConfiguration,MutatingWebhookConfiguration,
io_k8s_api_admissionregistration_v1_MutatingWebhookConfiguration_apiVersion,MutatingWebhookConfiguration_apiVersion,apiVersion,
io_k8s_api_admissionregistration_v1_MutatingWebhookConfiguration_kind,MutatingWebhookConfiguration_kind,kind,
io_k8s_api_admissionregistration_v1_MutatingWebhookConfiguration_metadata,MutatingWebhookConfiguration_metadata,metadata,
io_k8s_api_admissionregistration_v1_MutatingWebhookConfiguration_metadata_annotations,MutatingWebhookConfiguration_metadata_annotations,annotations,-
